file,path,date_start,date_end,longitude_min,longitude_max,latitude_min,latitude_max,n_in_realm_points,longitude_variable,latitude_variable,time_variable
osu033-20111102T1638-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20111102T1638-delayed_oxy.nc,2011-11-02T16:38:09.999997615+00:00,2011-11-10T17:06:54.000000803+00:00,-125.15351153760139,-124.10809666666667,44.56596700930272,44.711289907394494,311614,lon,lat,time
osu033-20111202T1653-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20111202T1653-delayed_oxy.nc,2011-12-02T16:53:18.000001161+00:00,2011-12-09T20:55:16.999996082+00:00,-125.09780425543148,-124.11197172460813,44.5427583954276,44.88067490169258,282825,lon,lat,time
osu033-20130114T1754-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20130114T1754-delayed_oxy.nc,2013-01-14T17:54:28.000000344+00:00,2013-02-01T17:10:49.999998135+00:00,-125.11568999999999,-124.09674833333332,44.562065031226815,44.74321824857407,1118944,lon,lat,time
osu033-20130307T1842-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20130307T1842-delayed_oxy.nc,2013-03-07T18:42:42.000004200+00:00,2013-03-29T16:46:30.999995921+00:00,-125.13052969124507,-124.0939885731681,44.58071334988962,44.70444640441886,1524663,lon,lat,time
osu033-20130403T2232-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20130403T2232-delayed_oxy.nc,2013-04-03T22:32:17.000001222+00:00,2013-04-22T16:31:01.000001061+00:00,-125.1163779319116,-124.0917905656924,44.489391702959814,44.828869984977764,1306899,lon,lat,time
osu033-20130510T1644-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20130510T1644-delayed_oxy.nc,2013-05-10T16:44:05.999997851+00:00,2013-05-31T17:56:32.999996244+00:00,-125.11760964780856,-124.07686226798161,44.65654169182216,44.79447930822613,1420960,lon,lat,time
osu033-20130926T2227-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20130926T2227-delayed_oxy.nc,2013-09-26T22:27:09.999996724+00:00,2013-10-17T19:00:45.999998602+00:00,-125.10930783240894,-124.07399087157737,44.57020519028142,44.879709015219575,1481426,lon,lat,time
osu033-20140617T1720-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20140617T1720-delayed_oxy.nc,2014-06-17T17:20:17.000000554+00:00,2014-07-11T17:16:54.999999851+00:00,-125.1212975092132,-124.09586833333333,44.64679833333333,44.81357548520589,932443,lon,lat,time
osu033-20140721T1610-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20140721T1610-delayed_oxy.nc,2014-07-21T16:10:33.000003174+00:00,2014-08-11T16:10:52.000000703+00:00,-125.13046644946532,-124.09508750201829,44.589548535492334,44.7402845600754,813016,lon,lat,time
osu033-20140821T1925-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20140821T1925-delayed_oxy.nc,2014-08-21T22:54:04.000003113+00:00,2014-09-03T17:31:06.000000764+00:00,-125.16164720472257,-124.08879045468834,44.64261025773411,44.77096161930092,498157,lon,lat,time
osu033-20140911T1509-delayed_oxy.nc,/Users/larissadias/Library/Mobile Documents/com~apple~CloudDocs/Documents/Python/LiveOcean/Gliders/glider_data/osu033-20140911T1509-delayed_oxy.nc,2014-09-11T15:09:47.999999148+00:00,2014-09-30T17:42:28.999997602+00:00,-125.12262435128044,-124.07970095315692,44.65061203342883,44.882424441733455,725900,lon,lat,time
