latitude,longitude,source_file,station_name
44.36824,-124.95279,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
44.36817,-124.95017,CEAbottle_Unique_Counts.csv,
45.83417,-129.759,CEAbottle_Unique_Counts.csv,
45.83417,-129.759,CEAbottle_Unique_Counts.csv,
45.83417,-129.759,CEAbottle_Unique_Counts.csv,
45.83417,-129.759,CEAbottle_Unique_Counts.csv,
45.83417,-129.759,CEAbottle_Unique_Counts.csv,
45.83417,-129.759,CEAbottle_Unique_Counts.csv,
45.83417,-129.759,CEAbottle_Unique_Counts.csv,
45.83417,-129.759,CEAbottle_Unique_Counts.csv,
45.83417,-129.759,CEAbottle_Unique_Counts.csv,
45.83417,-129.759,CEAbottle_Unique_Counts.csv,
45.82968,-129.75904,CEAbottle_Unique_Counts.csv,
45.8297,-129.75901,CEAbottle_Unique_Counts.csv,
44.63717,-124.306,CEAbottle_Unique_Counts.csv,
44.63717,-124.306,CEAbottle_Unique_Counts.csv,
44.63717,-124.306,CEAbottle_Unique_Counts.csv,
44.63717,-124.306,CEAbottle_Unique_Counts.csv,
44.63717,-124.306,CEAbottle_Unique_Counts.csv,
44.63717,-124.306,CEAbottle_Unique_Counts.csv,
44.637,-124.305,CEAbottle_Unique_Counts.csv,
44.637,-124.305,CEAbottle_Unique_Counts.csv,
44.637,-124.305,CEAbottle_Unique_Counts.csv,
44.637,-124.305,CEAbottle_Unique_Counts.csv,
44.637,-124.305,CEAbottle_Unique_Counts.csv,
44.637,-124.305,CEAbottle_Unique_Counts.csv,
44.37417,-124.95433,CEAbottle_Unique_Counts.csv,
44.37417,-124.95433,CEAbottle_Unique_Counts.csv,
