_x_bin,_y_bin,Center_Lat,Center_Lon,n_records,Sources,Station_Names,Source_Names,Source_Files
-395124,198278,44.52894807761408,-125.38919621203306,2,bottle,Slope Base Shallow Profiler - 200 m W,Slope Base Shallow Profiler - 200 m W,bottle_data
-395123,198214,44.51457509881423,-125.3888788702495,30,bottle,Slope Base Junction Box LV01A - 100 m SE,Slope Base Junction Box LV01A - 100 m SE,bottle_data
-395123,198278,44.52894807761408,-125.3888788702495,4,bottle,Slope Base Shallow Profiler - 200 m W,Slope Base Shallow Profiler - 200 m W,bottle_data
-395123,198314,44.537032878189,-125.3888788702495,27,bottle,Slope Base Shallow Profiler - 250 m E,Slope Base Shallow Profiler - 250 m E,bottle_data
-395120,198259,44.52468109953288,-125.38792684489886,26,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-395119,198282,44.529846388789075,-125.38760950311531,2,bottle,Slope Base Shallow Profiler - 200 m W,Slope Base Shallow Profiler - 200 m W,bottle_data
-395114,198314,44.537032878189,-125.38602279419757,1,bottle,Slope Base Shallow Profiler - 250 m E,Slope Base Shallow Profiler - 250 m E,bottle_data
-395113,198314,44.537032878189,-125.38570545241402,29,bottle,Slope Base Shallow Profiler - 250 m E,Slope Base Shallow Profiler - 250 m E,bottle_data
-395106,198289,44.53141843334531,-125.38348405992917,31,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-395097,198271,44.52737603305785,-125.38062798387723,2,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-395097,198272,44.5276006108516,-125.38062798387723,10,bottle,Slope Base Deep Profiler; Oregon Offshore Deep Profiler,Slope Base Deep Profiler; Oregon Offshore Deep Profiler,bottle_data
-395096,198267,44.52647772188286,-125.38031064209369,1,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-395096,198269,44.52692687747036,-125.38031064209369,1,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-395096,198290,44.53164301113906,-125.38031064209369,22,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-395096,198309,44.535909989220265,-125.38031064209369,39,bottle,Slope Base Shallow Profiler - 1300 m NE,Slope Base Shallow Profiler - 1300 m NE,bottle_data
-395095,198269,44.52692687747036,-125.37999330031013,2,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-395094,198269,44.52692687747036,-125.37967595852659,2,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-395090,198316,44.5374820337765,-125.37840659139239,20,bottle,Slope Base Shallow Profiler,Slope Base Shallow Profiler,bottle_data
-395081,198254,44.52355821056414,-125.37555051534045,25,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-395080,198257,44.52423194394538,-125.37523317355691,21,bottle,Slope Base Deep Profiler,Slope Base Deep Profiler,bottle_data
-395077,198271,44.52737603305785,-125.37428114820626,14,bottle,Slope Base Deep Profiler - 500 m E,Slope Base Deep Profiler - 500 m E,bottle_data
-395068,198266,44.52625314408911,-125.37142507215432,34,bottle,Slope Base Deep Profiler - 750 m E,Slope Base Deep Profiler - 750 m E,bottle_data
-394362,198457,44.56914750269493,-125.14738177296888,1,bottle,Southern Hydrate Ridge,Southern Hydrate Ridge,bottle_data
-394362,198458,44.569372080488684,-125.14738177296888,1,bottle,Southern Hydrate Ridge,Southern Hydrate Ridge,bottle_data
-394360,198459,44.56959665828243,-125.14674708940179,23,bottle,Southern Hydrate Ridge,Southern Hydrate Ridge,bottle_data
-394360,198460,44.56982123607618,-125.14674708940179,1,bottle,Southern Hydrate Ridge,Southern Hydrate Ridge,bottle_data
-394360,198467,44.571393280632414,-125.14674708940179,1,bottle,Southern Hydrate Ridge - 100 m N of Einstein's Grotto,Southern Hydrate Ridge - 100 m N of Einstein's Grotto,bottle_data
-394359,198460,44.56982123607618,-125.14642974761824,1,bottle,Southern Hydrate Ridge,Southern Hydrate Ridge,bottle_data
-394358,198453,44.56824919151994,-125.1461124058347,3,bottle,Southern Hydrate Ridge - 90 m E of plume,Southern Hydrate Ridge - 90 m E of plume,bottle_data
-393787,197522,44.35916726554078,-124.96491024742835,3,bottle,Oregon Offshore BEP,Oregon Offshore BEP,bottle_data
-393786,197525,44.359840998922024,-124.96459290564479,3,bottle,Oregon Offshore BEP,Oregon Offshore BEP,bottle_data
-393779,197589,44.37421397772188,-124.96237151315995,41,bottle,Oregon Offshore Shallow Profiler - 500 m W,Oregon Offshore Shallow Profiler - 500 m W,bottle_data
-393776,197568,44.36949784405318,-124.96141948780931,25,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-393776,197577,44.37151904419691,-124.96141948780931,25,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-393772,197569,44.36972242184693,-124.96015012067511,20,bottle,Oregon Offshore Deep Profiler - 250 m E,Oregon Offshore Deep Profiler - 250 m E,bottle_data
-393772,197587,44.37376482213439,-124.96015012067511,27,bottle,Oregon Offshore Shallow Profiler - 250 m W,Oregon Offshore Shallow Profiler - 250 m W,bottle_data
-393770,197589,44.37421397772188,-124.95951543710801,54,bottle,Oregon Offshore Shallow Profiler - 250 m W,Oregon Offshore Shallow Profiler - 250 m W,bottle_data
-393764,197577,44.37151904419691,-124.95761138640673,27,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-393761,197589,44.37421397772188,-124.95665936105608,4,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-393760,197584,44.37309108875314,-124.95634201927253,32,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-393760,197588,44.373989399928135,-124.95634201927253,3,bottle,Axial Base Shallow Profiler,Axial Base Shallow Profiler,bottle_data
-393759,197586,44.37354024434064,-124.95602467748898,3,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-393759,197589,44.37421397772188,-124.95602467748898,3,bottle,Axial Base Shallow Profiler,Axial Base Shallow Profiler,bottle_data
-393756,197555,44.36657833273446,-124.95507265213833,35,bottle,Oregon Offshore Deep Profiler - 250 m SW; Oregon Offshore Deep Profiler - 500 m SW,Oregon Offshore Deep Profiler - 250 m SW; Oregon Offshore Deep Profiler - 500 m SW,bottle_data
-393754,197589,44.37421397772188,-124.95443796857124,16,bottle,Oregon Offshore Shallow Profiler - 600 m E,Oregon Offshore Shallow Profiler - 600 m E,bottle_data
-393753,197595,44.37556144448437,-124.95412062678768,41,bottle,Oregon Offshore Shallow Profiler - 250 m NE,Oregon Offshore Shallow Profiler - 250 m NE,bottle_data
-393752,197567,44.369273266259434,-124.95380328500414,3,bottle,Oregon Offshore BEP,Oregon Offshore BEP,bottle_data
-393752,197568,44.36949784405318,-124.95380328500414,2,bottle,Oregon Offshore BEP,Oregon Offshore BEP,bottle_data
-393751,197567,44.369273266259434,-124.95348594322058,3,bottle,Oregon Offshore BEP,Oregon Offshore BEP,bottle_data
-393750,197587,44.37376482213439,-124.95316860143704,30,bottle,Oregon Offshore Shallow Profiler - 250 m E,Oregon Offshore Shallow Profiler - 250 m E,bottle_data
-393749,197562,44.368150377290696,-124.95285125965349,2,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-393749,197563,44.36837495508444,-124.95285125965349,10,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-393749,197587,44.37376482213439,-124.95285125965349,1,bottle,Oregon Offshore Shallow Profiler - 250 m E,Oregon Offshore Shallow Profiler - 250 m E,bottle_data
-393748,197562,44.368150377290696,-124.95253391786994,4,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-393748,197569,44.36972242184693,-124.95253391786994,16,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-393748,197581,44.3724173553719,-124.95253391786994,20,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-393748,197602,44.3771334890406,-124.95253391786994,27,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-393745,197587,44.37376482213439,-124.9515818925193,21,bottle,Oregon Offshore Shallow Profiler,Oregon Offshore Shallow Profiler,bottle_data
-393744,197581,44.3724173553719,-124.95126455073574,23,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
-393743,197581,44.3724173553719,-124.9509472089522,23,bottle,Oregon Offshore Deep Profiler,Oregon Offshore Deep Profiler,bottle_data
